,AMX,TLEVISA,GFNORTE,CEMEX,BIMBO
02/01/2012,16.049999,59,43.040001,5.95107,28.5
03/01/2012,15.85,58.18,43.5,6.01429,29.02
04/01/2012,15.8,58.52,43.400002,6.12494,29.370001
05/01/2012,15.5,58.5,44,6.01429,29.219999
09/01/2012,15.46,58,45.84,5.7693,28.799999
10/01/2012,15.44,58.75,46.650002,5.80881,29.049999
11/01/2012,15.52,58.630001,47.439999,6.00639,29.200001
12/01/2012,15.46,58.5,48.5,6.12494,29.34
13/01/2012,15.13,56.32,48.150002,6.06171,28.5
16/01/2012,15.28,56.860001,48.25,6.06962,28.5
17/01/2012,15.1,55.91,47.349998,6.07752,28.5
18/01/2012,15.41,57.290001,50.98,6.48848,29.049999
19/01/2012,15.64,56.939999,51.419998,6.71767,29.58
20/01/2012,15.38,56.700001,51.18,6.70187,29
23/01/2012,15.31,56.150002,52.02,6.63864,28.780001
24/01/2012,15.14,55.380001,51.59,6.62284,28.690001
25/01/2012,15.4,54.139999,52.48,6.773,28.700001
26/01/2012,15.39,52.389999,52.93,6.94686,29
27/01/2012,15.27,51.599998,52.59,6.83622,28.76
30/01/2012,15.32,51.470001,51.830002,6.89945,28.879999
31/01/2012,15.18,51.52,51.939999,6.97848,29
01/02/2012,15.28,52.810001,51.200001,7.20767,29.41
02/02/2012,15.24,50.900002,51,7.90315,29.73
03/02/2012,15.63,50.880001,51.299999,8.19556,30.51
07/02/2012,15.5,50.549999,50.810001,8.25088,29.91
08/02/2012,15.54,51.290001,51.099998,8.47217,29.49
09/02/2012,15.56,51.049999,52,8.56701,29.5
10/02/2012,15.3,50.849998,52.990002,8.51959,29.57
13/02/2012,15.11,50.630001,53.5,8.56701,29.85
14/02/2012,15,51.75,53.400002,8.34572,29.469999
15/02/2012,15,52.259998,53.52,8.32992,30
16/02/2012,15.07,53.16,53.279999,8.50378,30
17/02/2012,14.99,54.259998,53.639999,8.5433,29.799999
20/02/2012,15.2,54.299999,53.560001,8.61443,29.969999
21/02/2012,14.99,53.279999,54.599998,8.31411,28.959999
22/02/2012,14.94,53.139999,53.700001,8.16395,29.129999
23/02/2012,15.31,52.959999,54.130001,7.98218,29.450001
24/02/2012,15.3,53.66,54.07,7.46847,29.51
27/02/2012,15.05,53.700001,52.650002,7.84782,29.15
28/02/2012,15.33,53.619999,53.150002,7.7846,29.040001
29/02/2012,15.43,54.84,52,7.77669,28.799999
01/03/2012,15.47,54.299999,54.599998,7.82411,29.24
02/03/2012,15.34,54.41,56.689999,8.12443,29.700001
05/03/2012,15.3,53.970001,56.919998,8.07701,29.700001
06/03/2012,15.15,53.299999,55.150002,7.73718,28.98
07/03/2012,15.13,52.560001,55.779999,7.75299,29.25
08/03/2012,15.11,52.810001,55.779999,8.01379,29.299999
09/03/2012,14.97,52.75,57,8.0296,29.26
12/03/2012,14.77,52.5,57.599998,7.8004,29.700001
13/03/2012,15.15,53.240002,57.860001,7.96637,29.719999
14/03/2012,14.95,53.34,56.720001,7.95847,29.85
15/03/2012,15.08,53.650002,56.860001,7.87153,29.549999
16/03/2012,15.38,53.43,56.200001,7.55541,29.6
20/03/2012,15.15,53.110001,56.470001,7.84782,29.34
21/03/2012,15,53.299999,56.73,8.16395,29.4
22/03/2012,15.3,53.68,56,7.99008,29.57
23/03/2012,15.31,54.099998,56.43,8.01379,29.6
26/03/2012,15.63,54.75,57,8.06911,29.870001
27/03/2012,15.68,54.459999,56.299999,8.16174,29.1
28/03/2012,15.73,54.52,56.650002,8.0631,29.6
29/03/2012,15.8,53.700001,57.040001,8.16996,29.809999
30/03/2012,15.93,54.130001,56.869999,8.13708,29.860001
02/04/2012,15.83,55.360001,56.889999,8.1453,30.719999
03/04/2012,15.82,54.639999,57.599998,7.99735,30.6
04/04/2012,15.55,54.119999,56.84,7.82475,29.85
09/04/2012,15.55,54.459999,57,7.68502,30.459999
10/04/2012,15.4,53.759998,57.400002,7.38912,29.799999
11/04/2012,15.44,53.799999,58,7.45488,30.48
12/04/2012,15.79,54.099998,58.919998,7.59461,30.4
13/04/2012,15.79,52.900002,62.240002,7.38091,30.540001
16/04/2012,15.73,53.959999,64.5,7.23296,30.6
17/04/2012,15.9,53.799999,63.200001,7.47132,30.559999
18/04/2012,15.9,53.900002,60.73,7.39734,31
19/04/2012,15.9,53.709999,60.73,7.26584,31.5
20/04/2012,15.98,53.400002,60.490002,7.32337,31.57
23/04/2012,16.469999,53.650002,60.400002,7.2494,31.99
24/04/2012,16.65,53.599998,60.720001,7.35625,32.25
25/04/2012,16.57,53.380001,61.990002,7.77543,32.040001
26/04/2012,16.610001,54.080002,64.019997,7.75899,31.77
27/04/2012,16.98,56.360001,64,7.70146,30.65
30/04/2012,17.389999,57.07,62.82,7.74255,31.08
02/05/2012,17.58,57.18,62.110001,7.51241,30.91
