Grupo,Valor
A,30.508214
A,30.512858
A,30.6429886
A,30.6468578
A,30.7738598
A,31.1397622
A,31.3592782
A,31.584988
A,30.8323424
A,30.9919242
A,30.5875036
A,31.843696
A,32.0595334
A,31.7923742
A,31.7797286
A,31.4845684
A,31.4986
A,31.3313718
A,31.0112436
A,30.8798904
A,30.9236958
A,31.1815344
A,30.9546304
A,31.303112
A,31.004176
A,31.1784338
A,31.3354018
A,31.445918
A,31.5314022
A,31.5931442
A,31.8219836
A,32.0027558
A,32.2466592
A,32.3288858
A,32.0288212
A,31.8147898
A,31.9664362
A,32.001694
A,31.6795646
A,31.7849204
A,31.7693378
A,32.2868214
A,32.852886
A,32.793402
A,32.0634362
A,32.094598
A,32.2027578
A,32.40192
A,32.4740798
A,32.7872744
A,32.5636942
A,32.6023064
A,32.4330822
A,32.3835644
A,32.5187898
A,32.508016
A,32.6907576
A,33.0638222
A,32.7403476
A,32.9126204
A,32.9039922
A,32.9854162
A,33.3890598
A,33.3314694
A,32.8369498
A,33.0310036
A,32.7498238
A,33.0349758
A,33.3609212
A,33.770183
A,34.4045918
A,34.1862638
A,33.7854684
A,33.8211678
A,33.7526748
A,33.9518806
A,34.1152498
A,34.3510868
A,34.847798
A,35.1382922
A,35.2205098
A,35.0584822
A,34.8463182
A,34.7518796
A,35.3679082
A,35.1886204
A,35.3414678
A,35.2895524
A,34.4988102
A,34.09733
A,33.3666436
A,33.4546158
A,33.6409742
A,33.091355
A,33.581192
A,33.6261244
A,33.5574116
A,33.5622606
A,33.5904806
A,33.4269176
A,34.2080984
A,34.2518492
A,34.709302
A,33.6025874
A,33.1334386
A,33.3820144
A,33.6000418
A,33.77689
A,33.8431096
A,33.3705878
A,34.0673838
A,33.7717118
A,34.107164
A,34.35626
A,34.5208358
A,34.918153
A,35.6014406
A,35.0546992
A,35.7726446
A,35.716564
A,35.9967842
A,36.4351412
A,36.0800162
A,36.800183
A,36.9572514
A,36.750592
A,36.308371
A,35.867304
A,35.7939878
A,36.3037136
A,36.4825096
A,36.5247278
A,36.9618238
A,37.8996058
A,38.4836062
A,37.903934
A,37.5756054
A,37.98273
A,38.3136336
A,38.126702
A,37.9135524
A,38.2343746
A,38.4151968
A,38.5375244
A,38.0814954
A,37.786428
A,37.5421538
A,38.0716616
A,38.098183
A,38.1425946
A,38.1105942
A,37.7093058
A,37.5869776
A,37.160182
A,37.4593338
A,37.7699922
A,37.5158004
A,37.3271696
A,37.1186482
A,36.6285938
A,36.9412804
A,36.678184
A,37.1650592
A,37.1465396
A,37.1746762
A,37.1302386
A,36.9572242
A,36.3327582
A,36.9250602
A,36.5184838
A,36.621854
A,36.8833906
A,37.0751164
A,37.1481016
A,37.2874726
A,37.8260734
A,37.9244854
A,37.5598568
A,37.4522118
A,37.9842396
A,37.5556642
A,37.0314436
A,37.5737178
A,37.5628416
A,37.4073068
A,37.6661302
A,38.1625688
A,38.7668702
A,38.8429516
A,38.6063754
A,39.0309266
A,39.4014462
A,39.4631442
A,39.0842682
A,38.7601866
A,39.0905692
A,39.2034176
A,39.066843
A,39.2450354
A,39.3198836
A,39.1930356
A,38.693584
A,38.434377
A,38.3022406
A,38.526051
A,38.2456948
A,38.0061042
A,37.9266804
A,37.7221048
A,37.8312538
A,37.6359682
A,37.9317484
A,37.3885974
A,37.4778032
A,37.240214
A,37.2309264
A,37.476295
A,37.1982674
A,37.1984852
A,37.5155562
A,37.7181038
A,37.9890358
A,38.2932538
A,38.3253916
A,38.193748
A,38.0749542
A,38.2377484
A,38.5722408
A,38.1237206
A,38.760377
A,38.9545138
A,39.2852284
A,39.5927344
A,39.8470898
A,40.3995848
A,40.897584
A,40.6778024
A,40.62824
A,40.9346602
A,41.7496594
A,42.1488402
A,41.736261
A,41.6480594
A,41.7627606
A,41.6798394
A,41.7474806
A,42.0291202
A,42.1016996
A,43.2954
A,43.139319
A,42.9951796
A,43.1296214
A,43.2459596
A,43.529339
A,43.0382008
A,42.8459616
A,43.1227398
A,43.1073594
A,43.4063796
A,43.713019
A,43.90566
A,44.2494
A,44.2993186
A,44.3736994
A,44.1395002
A,44.4129198
A,45.1413598
A,44.5302798
A,44.2173194
A,43.8320194
A,44.342379
A,44.03022
A,43.7361602
A,43.1404594
A,43.4390396
A,43.7687412
A,43.605839
A,43.2549208
A,42.9064594
A,43.21096
A,43.4225196
A,43.9343808
A,43.904399
A,43.6580194
A,43.5818802
A,42.9646592
A,42.7160204
A,43.4089204
A,44.549358
A,44.5006794
A,44.730181
A,45.178221
A,44.6520204
A,44.3305402
A,43.9918606
A,43.991919
A,44.4923594
A,44.35134
A,44.9794206
A,44.50576
A,43.6388392
A,44.091601
A,43.8967998
A,44.2498598
A,44.7250808
A,45.5791592
A,45.832721
A,45.4160796
A,45.5992792
A,44.884519
A,45.0035002
A,44.2368004
A,44.6262392
A,45.1608792
A,45.9512794
A,46.0147194
A,45.3342008
A,44.3440598
A,44.6496398
A,44.0361802
A,43.6231392
A,44.45082
A,45.0773202
A,45.2158798
A,44.2495794
A,44.42156
A,43.4017004
A,43.40446
A,43.4984596
A,43.2498006
A,43.3418396
A,43.0312194
A,44.2037992
A,43.8996402
A,43.6686206
A,43.556639
A,43.3989604
A,44.2711208
A,43.9643408
A,43.7503408
A,44.2380208
A,43.7179004
A,43.1423196
A,42.0176188
A,42.0807804
A,42.52928
A,41.6096398
A,42.3887396
A,41.9966998
A,41.9525202
A,42.4104406
A,42.7407396
A,42.5692002
A,41.8201604
A,41.8226404
A,41.09604
A,41.8713804
A,40.93826
A,39.9575202
A,39.8097204
A,39.2651998
A,39.9321002
A,39.4819402
A,39.0943796
A,37.7032
A,38.2764192
A,37.7022996
A,38.4515196
A,39.3881606
A,40.377259
A,41.3224202
A,41.6820608
