Orden,Fecha,VXEEM,VIX
1,02/02/2012,27.38,17.98
2,03/02/2012,26.9,17.1
3,06/02/2012,28.68,17.76
4,07/02/2012,29.01,17.65
5,08/02/2012,29.51,18.16
6,09/02/2012,28.71,18.63
7,10/02/2012,37.3,20.79
8,13/02/2012,30.28,19.04
9,14/02/2012,30.91,19.54
10,15/02/2012,32.82,21.14
11,16/02/2012,31.13,19.22
12,17/02/2012,32.32,17.78
13,21/02/2012,28.66,18.19
14,22/02/2012,28.32,18.19
15,23/02/2012,26.78,16.8
16,24/02/2012,28.09,17.31
17,27/02/2012,29.12,18.19
18,28/02/2012,27.78,17.96
19,29/02/2012,28.89,18.43
20,01/03/2012,26.89,17.26
21,02/03/2012,26.72,17.29
22,05/03/2012,27.38,18.05
23,06/03/2012,31.29,20.87
24,07/03/2012,30.05,19.07
25,08/03/2012,28.85,17.95
26,09/03/2012,29.11,17.11
27,12/03/2012,28.4,15.64
28,13/03/2012,29.99,14.8
29,14/03/2012,29.58,15.31
30,15/03/2012,40.76,15.42
31,16/03/2012,25.24,14.47
32,19/03/2012,25.6,15.04
33,20/03/2012,26.9,15.58
34,21/03/2012,25.93,15.13
35,22/03/2012,27.13,15.57
36,23/03/2012,26.75,14.82
37,26/03/2012,26.04,14.26
38,27/03/2012,26.8,15.59
39,28/03/2012,29.54,15.47
40,29/03/2012,28.4,15.48
41,30/03/2012,27.65,15.5
42,02/04/2012,26.75,15.64
43,03/04/2012,26.33,15.66
44,04/04/2012,28.18,16.44
45,05/04/2012,27.75,16.7
46,09/04/2012,29.45,18.81
47,10/04/2012,31.81,20.39
48,11/04/2012,30.68,20.02
49,12/04/2012,28.32,17.2
50,13/04/2012,29.9,19.55
51,16/04/2012,30.44,19.55
52,17/04/2012,28.64,18.46
53,18/04/2012,29.12,18.64
54,19/04/2012,28.8,18.36
55,20/04/2012,26.65,17.44
56,23/04/2012,29.39,18.97
57,24/04/2012,27.1,18.1
58,25/04/2012,27.25,16.82
59,26/04/2012,25.3,16.24
60,27/04/2012,24.99,16.32
61,30/04/2012,25.87,17.15
62,01/05/2012,25.81,16.6
63,02/05/2012,41.54,16.88
64,03/05/2012,26.03,17.56
65,04/05/2012,28.05,19.16
66,07/05/2012,27.85,18.94
67,08/05/2012,25.95,19.05
